,id,frame_id,oid,hid,score_vs_top_post,switch,score_vs_top_pre,diff_vs_top
205,group1.centroids_sample_1_6952_8452,1273,1,7,-8.320949,False,5.0321856,-13.353134
206,group1.centroids_sample_1_6952_8452,1273,4,1,-2.6147313,False,4.0002995,-6.615031
207,group1.centroids_sample_1_6952_8452,1274,1,1,-3.632859,False,5.439329,-9.072188
208,group1.centroids_sample_1_6952_8452,1274,4,7,-7.0101233,False,3.8959308,-10.906054
209,group1.centroids_sample_1_6952_8452,1275,1,7,-8.414223,False,5.217227,-13.63145
210,group1.centroids_sample_1_6952_8452,1275,4,1,-3.0502763,False,4.3712955,-7.4215717
211,group1.centroids_sample_1_6952_8452,1276,1,1,-4.314361,False,5.775817,-10.090178
212,group1.centroids_sample_1_6952_8452,1276,4,7,-7.031512,False,4.009036,-11.040548
213,group1.centroids_sample_1_6952_8452,1277,1,7,-8.593181,False,5.6424794,-14.235661
214,group1.centroids_sample_1_6952_8452,1277,4,1,-2.9310167,False,4.190486,-7.121503
215,group1.centroids_sample_1_6952_8452,1278,1,1,-4.8303394,False,6.0766735,-10.907013
216,group1.centroids_sample_1_6952_8452,1278,4,7,-7.1137943,False,4.186083,-11.299877
217,group1.centroids_sample_1_6952_8452,1279,1,7,-8.680781,False,5.922629,-14.603411
218,group1.centroids_sample_1_6952_8452,1279,4,1,-2.729813,False,4.03207,-6.7618833
219,group1.centroids_sample_1_6952_8452,1281,1,1,-5.0931907,False,6.319602,-11.412792
220,group1.centroids_sample_1_6952_8452,1281,4,7,-7.180891,False,4.2226214,-11.403513
221,group1.centroids_sample_1_6952_8452,1283,1,7,-9.118389,False,6.648037,-15.766426
222,group1.centroids_sample_1_6952_8452,1283,4,1,-1.6347687,False,3.595027,-5.2297955
223,group1.centroids_sample_1_6952_8452,1284,1,1,-6.5129046,False,6.6420956,-13.155001
224,group1.centroids_sample_1_6952_8452,1284,4,7,-5.7689886,False,2.4770637,-8.246052
225,group1.centroids_sample_1_6952_8452,1337,3,3,0.0,False,0.19281483,-0.19281483
226,group1.centroids_sample_1_6952_8452,1337,9,4,-8.812576,False,0.0,-8.812576
227,group1.centroids_sample_1_6952_8452,1338,3,4,-8.22136,False,0.0,-8.22136
228,group1.centroids_sample_1_6952_8452,1338,9,3,-2.2798827,False,0.0,-2.2798827
229,group1.centroids_sample_1_6952_8452,1394,4,8,-1.6105107,False,1.8548642,-3.465375
230,group1.centroids_sample_1_6952_8452,1394,8,7,-3.8380356,False,1.2065581,-5.044594
231,group1.centroids_sample_1_6952_8452,1418,1,5,-5.7837706,False,6.3464174,-12.130188
232,group1.centroids_sample_1_6952_8452,1418,5,1,-3.5196745,False,0.3639686,-3.8836432
233,group1.centroids_sample_1_6952_8452,1428,1,1,-8.02094,False,6.771358,-14.792297
234,group1.centroids_sample_1_6952_8452,1428,5,5,-3.8019516,False,1.6708561,-5.472808
235,group1.centroids_sample_1_6952_8452,1448,6,9,-6.3075304,False,0.0,-6.3075304
236,group1.centroids_sample_1_6952_8452,1448,7,6,-1.6525054,False,0.9932904,-2.6457958
237,group2.centroids_sample_0_16148_17648,62,2,3,-1.997232,False,0.9844521,-2.9816842
238,group2.centroids_sample_0_16148_17648,62,3,2,0.0,False,0.0,0.0
239,group2.centroids_sample_0_16148_17648,63,2,2,0.0,True,0.0,0.0
240,group2.centroids_sample_0_16148_17648,63,3,3,-1.7277768,True,0.741171,-2.468948
241,group2.centroids_sample_0_16148_17648,124,1,5,-2.9004455,False,3.3334117,-6.233857
242,group2.centroids_sample_0_16148_17648,124,2,1,-1.0850496,False,2.1614754,-3.246525
243,group2.centroids_sample_0_16148_17648,124,5,2,-7.8799467,False,6.928889,-14.808836
244,group2.centroids_sample_0_16148_17648,131,1,2,-3.4693089,False,0.1447277,-3.6140366
245,group2.centroids_sample_0_16148_17648,131,2,5,0.0,False,1.3502842,-1.3502842
246,group2.centroids_sample_0_16148_17648,131,5,1,-5.566878,False,5.2211423,-10.78802
247,group2.centroids_sample_0_16148_17648,138,1,1,-2.3690243,False,0.0,-2.3690243
248,group2.centroids_sample_0_16148_17648,138,2,2,-0.33051157,False,1.6654584,-1.99597
249,group2.centroids_sample_0_16148_17648,138,5,9,-8.040297,False,4.4915133,-12.53181
250,group2.centroids_sample_0_16148_17648,138,9,5,-2.4194822,False,0.0,-2.4194822
251,group2.centroids_sample_0_16148_17648,146,2,9,-2.6849167,False,0.0,-2.6849167
252,group2.centroids_sample_0_16148_17648,146,5,5,0.0,False,4.457005,-4.457005
253,group2.centroids_sample_0_16148_17648,146,9,2,-0.65641665,False,0.0,-0.65641665
254,group2.centroids_sample_0_16148_17648,153,2,5,0.0,False,0.0,0.0
255,group2.centroids_sample_0_16148_17648,153,5,9,-7.3755,False,5.4515023,-12.827003
256,group2.centroids_sample_0_16148_17648,158,2,9,-1.6919903,False,1.1842778,-2.876268
257,group2.centroids_sample_0_16148_17648,158,5,5,-2.667277,False,5.232402,-7.899679
258,group2.centroids_sample_0_16148_17648,162,2,5,0.0,False,1.5413921,-1.5413921
259,group2.centroids_sample_0_16148_17648,162,5,9,-7.503331,False,4.6879683,-12.191299
260,group2.centroids_sample_0_16148_17648,165,2,9,-1.670088,False,1.6600016,-3.3300896
261,group2.centroids_sample_0_16148_17648,165,5,5,-2.1701012,False,4.676609,-6.84671
262,group2.centroids_sample_0_16148_17648,166,2,5,0.0,False,1.1928806,-1.1928806
263,group2.centroids_sample_0_16148_17648,166,5,9,-7.331422,False,4.857706,-12.189128
264,group2.centroids_sample_0_16148_17648,241,5,2,-2.165518,False,0.0,-2.165518
265,group2.centroids_sample_0_16148_17648,241,9,9,-0.33495522,False,5.470703,-5.8056583
266,group2.centroids_sample_0_16148_17648,244,0,2,-3.2027588,False,0.68387794,-3.8866367
267,group2.centroids_sample_0_16148_17648,244,5,0,-0.8946618,False,1.2927817,-2.1874435
268,group2.centroids_sample_0_16148_17648,245,5,9,0.0,False,0.02507615,-0.02507615
269,group2.centroids_sample_0_16148_17648,245,9,0,-6.9170923,False,6.4810395,-13.398132
270,group2.centroids_sample_0_16148_17648,246,0,9,0.0,False,1.5964922,-1.5964922
271,group2.centroids_sample_0_16148_17648,246,5,2,-1.4757419,False,0.2555387,-1.7312806
272,group2.centroids_sample_0_16148_17648,249,0,0,-1.5353912,False,0.30261612,-1.8380073
273,group2.centroids_sample_0_16148_17648,249,5,9,0.0,False,0.13911891,-0.13911891
274,group2.centroids_sample_0_16148_17648,249,9,2,-6.8434434,False,5.6217556,-12.4651985
275,group2.centroids_sample_0_16148_17648,251,3,4,-1.0130854,False,2.3885596,-3.401645
276,group2.centroids_sample_0_16148_17648,251,4,3,-6.8085084,False,7.7433977,-14.551907
277,group2.centroids_sample_0_16148_17648,254,0,2,-4.356579,False,0.0,-4.356579
278,group2.centroids_sample_0_16148_17648,254,5,0,-1.5968779,False,0.9694586,-2.5663366
279,group2.centroids_sample_0_16148_17648,254,9,9,0.0,False,4.650385,-4.650385
280,group2.centroids_sample_0_16148_17648,258,5,9,0.0,False,0.46269917,-0.46269917
281,group2.centroids_sample_0_16148_17648,258,9,0,-6.3220506,False,5.0648575,-11.386908
282,group2.centroids_sample_0_16148_17648,260,0,9,0.0,False,0.0,0.0
283,group2.centroids_sample_0_16148_17648,260,5,2,-1.9603024,False,0.15068293,-2.1109853
284,group2.centroids_sample_0_16148_17648,263,5,0,-0.4293425,False,0.0,-0.4293425
285,group2.centroids_sample_0_16148_17648,263,9,2,-7.6233788,False,6.092086,-13.715465
286,group2.centroids_sample_0_16148_17648,265,0,0,0.0,False,0.6848469,-0.6848469
287,group2.centroids_sample_0_16148_17648,265,5,9,-0.011679649,False,0.95499015,-0.9666698
288,group2.centroids_sample_0_16148_17648,266,2,9,-1.3970377,False,0.8622164,-2.2592542
289,group2.centroids_sample_0_16148_17648,266,5,2,-1.2596005,False,0.81840634,-2.0780067
290,group2.centroids_sample_0_16148_17648,266,9,5,-7.9305835,False,6.54424,-14.474823
291,group2.centroids_sample_0_16148_17648,268,0,9,-0.9321705,False,2.9539568,-3.8861275
292,group2.centroids_sample_0_16148_17648,268,2,5,-0.70983744,False,0.19974887,-0.9095863
293,group2.centroids_sample_0_16148_17648,268,5,0,-0.33403432,False,0.7669835,-1.1010178
294,group2.centroids_sample_0_16148_17648,268,9,2,-8.064157,False,6.295981,-14.360138
